block_timestamp,price
1696323405,1000000000100000000
1696323940,1000000000100000000
1696324485,1000000000100000000
1696325005,1000000000100000000
1696325545,1000000000100000000
1696326065,1000000000100000000
1696326615,1000000000100000000
1696327165,1000000000100000000
1696327675,1000000000100000000
1696328210,1000000000100000000
1696328740,1000000000100000000
1696329270,1000000000100000000
1696329835,1000000000100000000
1696330385,1000000000100000000
1696330915,1000000000100000000
1696331445,1000000000100000000
1696331970,1000000000100000000
1696332510,1000000000100000000
1696333040,1000000000100000000
1696333585,1000000000100000000
1696334120,1000000000100000000
1696334655,1000000000100000000
1696335185,1000000000100000000
1696335720,1000000000100000000
1696336260,1000000000100000000
1696336805,1000000000100000000
1696337345,1000000000100000000
1696337885,1000000000100000000
1696338435,1000000000100000000
1696338975,1000000000100000000
1696339525,1000000000100000000
1696340070,1000000000100000000
1696340590,1000000000100000000
1696341135,1000000000100000000
1696341700,1000000000100000000
1696342225,1000000000100000000
1696342755,1000000000100000000
1696343285,1000000000100000000
1696343810,1000000000100000000
1696344395,1000000000100000000
1696344945,1000000000100000000
1696345485,1000000000100000000
1696346015,1000000000100000000
1696346560,1000000000100000000
1696347100,1000000000100000000
1696347630,1000000000100000000
1696348170,1000000000100000000
1696348705,1000000000100000000
1696349270,1000000000100000000
1696349800,1000000000100000000
1696350350,1000000000100000000
1696350890,1000000000100000000
1696351405,1000000000100000000
1696351930,1000000000100000000
1696352455,1000000000100000000
1696353010,1000000000100000000
1696353540,1000000000100000000
1696354065,1000000000100000000
1696354595,1000000000100000000
1696355110,1000000000100000000
1696355635,1000000000100000000
1696356145,1000000000100000000
1696356665,1000000000100000000
1696357200,1000000000100000000
1696357720,1000000000100000000
1696358230,1000000000100000000
1696358765,1000000000100000000
1696359295,1000000000100000000
1696359820,1000000000100000000
1696360355,1000000000100000000
1696360875,1000000000100000000
1696361445,1000000000100000000
1696361990,1000000000100000000
1696362530,1000000000100000000
1696363060,1000000000100000000
1696363620,1000000000100000000
1696364135,1000000000100000000
1696364660,1000000000100000000
1696365185,1000000000100000000
1696365705,1000000000100000000
1696366230,1000000000100000000
1696366740,1000000000100000000
1696367255,1000000000100000000
1696367810,1000000000100000000
1696368345,1000000000100000000
1696368875,1000000000100000000
1696369405,1000000000100000000
1696369935,1000000000100000000
1696370470,1000000000100000000
1696371000,1000000000100000000
1696371565,1000000000100000000
1696372105,1000000000100000000
1696372625,1000000000100000000
1696373165,1000000000100000000
1696373705,1000000000100000000
1696374225,1000000000100000000
1696374765,1000000000100000000
1696375290,1000000000100000000
1696375815,1000000000100000000
1696376355,1000000000100000000
1696376905,1000000000100000000
1696377460,1000000000100000000
1696377995,1000000000100000000
1696378510,1000000000100000000
1696379095,1000000000100000000
1696379625,1000000000100000000
1696380160,1000000000100000000
1696380690,1000000000100000000
1696381215,1000000000100000000
1696381740,1000000000100000000
1696382280,1000000000100000000
1696382830,1000000000100000000
1696383375,1000000000100000000
1696383925,1000000000100000000
1696384455,1000000000100000000
1696384960,1000000000100000000
1696385480,1000000000100000000
1696385995,1000000000100000000
1696386515,1000000000100000000
1696387045,1000000000100000000
1696387570,1000000000100000000
1696388095,1000000000100000000
1696388615,1000000000100000000
1696389145,1000000000100000000
1696389680,1000000000100000000
1696390190,1000000000100000000
1696390710,1000000000100000000
1696391230,1000000000100000000
1696391750,1000000000100000000
1696392280,1000000000100000000
1696392810,1000000000100000000
1696393350,1000000000100000000
1696393900,1000000000100000000
1696394410,1000000000100000000
1696394925,1000000000100000000
1696395445,1000000000100000000
1696395980,1000000000100000000
1696396520,1000000000100000000
1696397045,1000000000100000000
1696397560,1000000000100000000
1696398100,1000000000100000000
1696398615,1000000000100000000
1696399145,1000000000100000000
1696399650,1000000000100000000
1696400180,1000000000100000000
1696400705,1000000000100000000
1696401220,1000000000100000000
1696401725,1000000000100000000
1696402265,1000000000100000000
1696402790,1000000000100000000
1696403320,1000000000100000000
1696403840,1000000000100000000
1696404360,1000000000100000000
1696404885,1000000000100000000
1696405560,1000000000100000000
1696406125,1000000000100000000
1696406735,1000000000100000000
1696407365,1000000000100000000
1696407930,1000000000100000000
1696408515,1000000000100000000
1696409125,1000000000100000000
1696409725,1000000000100000000
1696410280,1000000000100000000
1696410840,1000000000100000000
1696411390,1000000000100000000
1696411925,1000000000100000000
1696412480,1000000000100000000
1696413005,1000000000100000000
1696413570,1000000000100000000
1696414130,1000000000100000000
1696414720,1000000000100000000
1696415285,1000000000100000000
1696415875,1000000000100000000
