open_timestamp,open_price,high_price,low_price,close_price,volume,close_timestamp,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1696118400000,1.05580000,1.05580000,1.05570000,1.05580000,1937.00000000,1696118459999,2044.92324000,37,323.40000000,341.44572000,0
1696118460000,1.05570000,1.05580000,1.05570000,1.05580000,2572.90000000,1696118519999,2716.28099000,21,704.60000000,743.91668000,0
1696118520000,1.05580000,1.05580000,1.05570000,1.05570000,867.10000000,1696118579999,915.45918000,17,617.10000000,651.53418000,0
1696118580000,1.05570000,1.05580000,1.05570000,1.05580000,5115.70000000,1696118639999,5400.68788000,20,433.90000000,458.11162000,0
1696118640000,1.05580000,1.05580000,1.05570000,1.05580000,1551.20000000,1696118699999,1637.64720000,13,453.60000000,478.91088000,0
1696118700000,1.05570000,1.05580000,1.05570000,1.05580000,92.90000000,1696118759999,98.08186000,4,73.30000000,77.39014000,0
1696118760000,1.05570000,1.05580000,1.05570000,1.05570000,2626.00000000,1696118819999,2772.30360000,17,354.00000000,373.75320000,0
1696118820000,1.05570000,1.05580000,1.05570000,1.05570000,673.50000000,1696118879999,711.03867000,12,247.20000000,260.99376000,0
1696118880000,1.05580000,1.05580000,1.05570000,1.05570000,10109.50000000,1696118939999,10673.42870000,17,8295.50000000,8758.38890000,0
1696118940000,1.05580000,1.05580000,1.05570000,1.05580000,2863.00000000,1696118999999,3022.54239000,16,732.90000000,773.79582000,0
1696119000000,1.05580000,1.05580000,1.05570000,1.05580000,3688.40000000,1696119059999,3893.88332000,18,394.40000000,416.40752000,0
1696119060000,1.05570000,1.05580000,1.05570000,1.05580000,1462.70000000,1696119119999,1544.28906000,13,1166.70000000,1231.80186000,0
1696119120000,1.05580000,1.05580000,1.05570000,1.05580000,988.30000000,1696119179999,1043.44226000,14,939.50000000,991.92410000,0
1696119180000,1.05570000,1.05580000,1.05570000,1.05580000,1906.90000000,1696119239999,2013.14141000,15,270.80000000,285.91064000,0
1696119240000,1.05580000,1.05580000,1.05570000,1.05580000,409.40000000,1696119299999,432.21855000,10,149.70000000,158.05326000,0
1696119300000,1.05570000,1.05580000,1.05570000,1.05580000,2506.80000000,1696119359999,2646.53279000,13,1040.30000000,1098.34874000,0
1696119360000,1.05580000,1.05580000,1.05570000,1.05580000,284.50000000,1696119419999,300.37069000,12,240.40000000,253.81432000,0
1696119420000,1.05580000,1.05580000,1.05570000,1.05580000,290.20000000,1696119479999,306.38102000,8,168.80000000,178.21904000,0
1696119480000,1.05580000,1.05580000,1.05570000,1.05580000,2193.10000000,1696119539999,2315.34814000,21,924.70000000,976.29826000,0
1696119540000,1.05570000,1.05580000,1.05570000,1.05570000,736.00000000,1696119599999,777.05214000,8,569.40000000,601.17252000,0
1696119600000,1.05570000,1.05580000,1.05570000,1.05570000,3010.20000000,1696119659999,3177.88004000,13,119.00000000,125.64020000,0
1696119660000,1.05580000,1.05580000,1.05570000,1.05570000,3897.20000000,1696119719999,4114.28039000,12,63.50000000,67.04330000,0
1696119720000,1.05580000,1.05580000,1.05570000,1.05570000,2729.70000000,1696119779999,2881.81290000,16,686.10000000,724.38438000,0
1696119780000,1.05580000,1.05580000,1.05570000,1.05580000,876.50000000,1696119839999,925.36714000,11,460.90000000,486.61822000,0
1696119840000,1.05580000,1.05580000,1.05570000,1.05580000,2005.60000000,1696119899999,2117.46396000,21,1520.40000000,1605.23832000,0
1696119900000,1.05580000,1.05580000,1.05570000,1.05580000,914.30000000,1696119959999,965.26404000,11,375.30000000,396.24174000,0
1696119960000,1.05580000,1.05580000,1.05570000,1.05580000,691.70000000,1696120019999,730.28579000,8,581.00000000,613.41980000,0
1696120020000,1.05580000,1.05580000,1.05570000,1.05580000,6909.40000000,1696120079999,7294.69460000,11,4410.20000000,4656.28916000,0
1696120080000,1.05580000,1.05580000,1.05570000,1.05570000,928.50000000,1696120139999,980.30571000,10,882.60000000,931.84908000,0
1696120140000,1.05580000,1.05580000,1.05570000,1.05580000,1302.00000000,1696120199999,1374.60214000,10,807.40000000,852.45292000,0
1696120200000,1.05580000,1.05580000,1.05570000,1.05570000,950.80000000,1696120259999,1003.78979000,13,302.30000000,319.16834000,0
1696120260000,1.05580000,1.05580000,1.05580000,1.05580000,414.30000000,1696120319999,437.41794000,5,414.30000000,437.41794000,0
1696120320000,1.05570000,1.05580000,1.05570000,1.05570000,908.20000000,1696120379999,958.80143000,9,146.90000000,155.09702000,0
1696120380000,1.05580000,1.05580000,1.05570000,1.05570000,967.20000000,1696120439999,1021.11967000,12,466.30000000,492.31954000,0
1696120440000,1.05570000,1.05580000,1.05570000,1.05580000,1455.10000000,1696120499999,1536.19900000,11,499.30000000,527.16094000,0
1696120500000,1.05580000,1.05580000,1.05570000,1.05580000,15642.60000000,1696120559999,16514.15977000,22,2669.50000000,2818.45810000,0
1696120560000,1.05580000,1.05580000,1.05570000,1.05580000,1164.40000000,1696120619999,1229.34612000,17,890.40000000,940.08432000,0
1696120620000,1.05570000,1.05580000,1.05570000,1.05580000,857.80000000,1696120679999,905.64354000,10,640.80000000,676.55664000,0
1696120680000,1.05580000,1.05580000,1.05570000,1.05580000,468.90000000,1696120739999,495.04779000,10,300.60000000,317.37348000,0
1696120740000,1.05570000,1.05580000,1.05570000,1.05570000,698.50000000,1696120799999,737.45085000,8,444.00000000,468.77520000,0
1696120800000,1.05570000,1.05580000,1.05570000,1.05570000,2603.20000000,1696120859999,2748.39388000,20,1956.40000000,2065.56712000,0
1696120860000,1.05580000,1.05580000,1.05570000,1.05570000,1052.90000000,1696120919999,1111.58959000,10,430.60000000,454.62748000,0
1696120920000,1.05580000,1.05580000,1.05570000,1.05570000,3372.30000000,1696120979999,3560.40994000,12,2728.30000000,2880.53914000,0
1696120980000,1.05580000,1.05580000,1.05580000,1.05580000,409.00000000,1696121039999,431.82220000,9,409.00000000,431.82220000,0
1696121040000,1.05580000,1.05580000,1.05570000,1.05580000,964.50000000,1696121099999,1018.30194000,11,792.90000000,837.14382000,0
1696121100000,1.05580000,1.05580000,1.05580000,1.05580000,408.20000000,1696121159999,430.97756000,12,408.20000000,430.97756000,0
1696121160000,1.05580000,1.05580000,1.05570000,1.05570000,1691.40000000,1696121219999,1785.67526000,13,642.80000000,678.66824000,0
1696121220000,1.05580000,1.05580000,1.05570000,1.05580000,1290.90000000,1696121279999,1362.89967000,17,965.40000000,1019.26932000,0
1696121280000,1.05580000,1.05580000,1.05570000,1.05570000,2080.40000000,1696121339999,2196.47648000,10,1982.00000000,2092.59560000,0
1696121340000,1.05570000,1.05580000,1.05570000,1.05580000,689.00000000,1696121399999,727.38288000,7,55.80000000,58.91364000,0
1696121400000,1.05580000,1.05580000,1.05570000,1.05580000,448.70000000,1696121459999,473.71380000,11,212.10000000,223.93518000,0
1696121460000,1.05570000,1.05580000,1.05570000,1.05580000,2199.50000000,1696121519999,2322.07432000,11,621.70000000,656.39086000,0
1696121520000,1.05580000,1.05580000,1.05570000,1.05580000,1080.70000000,1696121579999,1140.90506000,7,100.70000000,106.31906000,0
1696121580000,1.05570000,1.05580000,1.05570000,1.05570000,377.80000000,1696121639999,398.84890000,10,54.40000000,57.43552000,0
1696121640000,1.05580000,1.05580000,1.05570000,1.05580000,1739.00000000,1696121699999,1835.91321000,13,509.10000000,537.50778000,0
1696121700000,1.05580000,1.05580000,1.05570000,1.05580000,890.40000000,1696121759999,940.02454000,10,292.60000000,308.92708000,0
1696121760000,1.05570000,1.05580000,1.05570000,1.05570000,3812.30000000,1696121819999,4024.75594000,11,1108.30000000,1170.14314000,0
1696121820000,1.05580000,1.05580000,1.05570000,1.05570000,553.30000000,1696121879999,584.15064000,11,318.30000000,336.06114000,0
1696121880000,1.05580000,1.05580000,1.05570000,1.05580000,3790.10000000,1696121939999,4001.25702000,13,484.50000000,511.53510000,0
1696121940000,1.05570000,1.05580000,1.05570000,1.05570000,531.50000000,1696121999999,561.14554000,5,409.90000000,432.77242000,0
1696122000000,1.05570000,1.05580000,1.05570000,1.05580000,1392.40000000,1696122059999,1470.04705000,30,903.70000000,954.12646000,0
1696122060000,1.05580000,1.05580000,1.05570000,1.05570000,314.60000000,1696122119999,332.13792000,4,147.00000000,155.20260000,0
1696122120000,1.05570000,1.05580000,1.05570000,1.05580000,3279.10000000,1696122179999,3461.76327000,19,174.00000000,183.70920000,0
1696122180000,1.05580000,1.05580000,1.05570000,1.05580000,678.60000000,1696122239999,716.44512000,14,471.00000000,497.28180000,0
1696122240000,1.05570000,1.05580000,1.05570000,1.05580000,4597.10000000,1696122299999,4853.34534000,15,1868.70000000,1972.97346000,0
1696122300000,1.05570000,1.05580000,1.05570000,1.05570000,595.80000000,1696122359999,628.99585000,10,97.90000000,103.36282000,0
1696122360000,1.05580000,1.05580000,1.05570000,1.05580000,440.00000000,1696122419999,464.53598000,9,279.80000000,295.41284000,0
1696122420000,1.05570000,1.05580000,1.05570000,1.05580000,372.30000000,1696122479999,393.04588000,8,87.70000000,92.59366000,0
1696122480000,1.05570000,1.05580000,1.05570000,1.05580000,959.40000000,1696122539999,1012.87429000,9,357.10000000,377.02618000,0
1696122540000,1.05580000,1.05580000,1.05570000,1.05580000,3155.20000000,1696122599999,3331.02606000,11,814.20000000,859.63236000,0
1696122600000,1.05580000,1.05580000,1.05570000,1.05580000,627.30000000,1696122659999,662.27022000,8,296.10000000,312.62238000,0
1696122660000,1.05570000,1.05580000,1.05570000,1.05570000,360.50000000,1696122719999,380.59589000,15,160.40000000,169.35032000,0
1696122720000,1.05570000,1.05580000,1.05570000,1.05580000,206.60000000,1696122779999,218.11296000,4,53.40000000,56.37972000,0
1696122780000,1.05580000,1.05580000,1.05570000,1.05570000,918.80000000,1696122839999,970.04952000,13,723.60000000,763.97688000,0
1696122840000,1.05570000,1.05580000,1.05570000,1.05580000,113.50000000,1696122899999,119.82350000,2,15.50000000,16.36490000,0
1696122900000,1.05570000,1.05580000,1.05570000,1.05580000,783.60000000,1696122959999,827.26857000,18,220.50000000,232.80390000,0
1696122960000,1.05570000,1.05580000,1.05570000,1.05580000,192.60000000,1696123019999,203.34508000,8,172.60000000,182.23108000,0
1696123020000,1.05580000,1.05580000,1.05570000,1.05570000,1045.70000000,1696123079999,1103.99939000,11,539.00000000,569.07620000,0
1696123080000,1.05580000,1.05580000,1.05570000,1.05570000,9995.50000000,1696123139999,10553.07230000,11,8229.50000000,8688.70610000,0
